time,ax,ax1
07:34:30,454.5,909
07:35:00,455,910
07:35:30,455.5,911
07:36:00,456,912
07:36:30,456.5,913
07:37:00,457,914
07:37:30,457.5,915
07:38:00,458,916
07:38:30,458.5,917
07:39:00,459,918
07:39:30,459.5,919
07:40:00,460,920
07:40:30,460.5,921
07:41:00,461,922
07:41:30,461.5,923
07:42:00,462,924
07:42:30,462.5,925
07:43:00,463,926
07:43:30,463.5,927
07:44:00,464,928
07:44:30,464.5,929
07:45:00,465,930
07:45:30,465.5,931
07:46:00,466,932
07:46:30,466.5,933
07:47:00,467,934
07:47:30,467.5,935
07:48:00,468,936
07:48:30,468.5,937
07:49:00,469,938
07:49:30,469.5,939
07:50:00,470,940
07:50:30,470.5,941
07:51:00,471,942
07:51:30,471.5,943
07:52:00,472,944
07:52:30,472.5,945
07:53:00,473,946
07:53:30,473.5,947
07:54:00,474,948
07:54:30,474.5,949
07:55:00,475,950
07:55:30,475.5,951
07:56:00,476,952
07:56:30,476.5,953
07:57:00,477,954
07:57:30,477.5,955
07:58:00,478,956
07:58:30,478.5,957
07:59:00,479,958
07:59:30,479.5,959
08:00:00,480,960
08:00:30,480.5,961
08:01:00,481,962
08:01:30,481.5,963
08:02:00,482,964
08:02:30,482.5,965
08:03:00,483,966
08:03:30,483.5,967
08:04:00,484,968
08:04:30,484.5,969
08:05:00,485,970
08:05:30,485.5,971
08:06:00,486,972
08:06:30,486.5,973
08:07:00,487,974
08:07:30,487.5,975
08:08:00,488,976
08:08:30,488.5,977
08:09:00,489,978
08:09:30,489.5,979
08:10:00,490,980
08:10:30,490.5,981
08:11:00,491,982
08:11:30,491.5,983
08:12:00,492,984
08:12:30,492.5,985
08:13:00,493,986
08:13:30,493.5,987
08:14:00,494,988
08:14:30,494.5,989
08:15:00,495,990
08:15:30,495.5,991
08:16:00,496,992
08:16:30,496.5,993
08:17:00,497,994
08:17:30,497.5,995
08:18:00,498,996
08:18:30,498.5,997
08:19:00,499,998
08:19:30,499.5,999
08:20:00,500,1000
08:20:30,500.5,1001
08:21:00,501,1002
08:21:30,501.5,1003
08:22:00,502,1004
08:22:30,502.5,1005
08:23:00,503,1006
08:23:30,503.5,1007
08:24:00,504,1008
08:24:30,504.5,1009
08:25:00,505,1010
08:25:30,505.5,1011
08:26:00,506,1012
08:26:30,506.5,1013
08:27:00,507,1014
08:27:30,507.5,1015
08:28:00,508,1016
08:28:30,508.5,1017
08:29:00,509,1018
08:29:30,509.5,1019
08:30:00,510,1020
08:30:30,510.5,1021
08:31:00,511,1022
08:31:30,511.5,1023
08:32:00,512,1024
08:32:30,512.5,1025
08:33:00,513,1026
08:33:30,513.5,1027
08:34:00,514,1028
08:34:30,514.5,1029
08:35:00,515,1030
08:35:30,515.5,1031
08:36:00,516,1032
08:36:30,516.5,1033
08:37:00,517,1034
08:37:30,517.5,1035
08:38:00,518,1036
08:38:30,518.5,1037
08:39:00,519,1038
08:39:30,519.5,1039
08:40:00,520,1040
08:40:30,520.5,1041
08:41:00,521,1042
08:41:30,521.5,1043
08:42:00,522,1044
08:42:30,522.5,1045
08:43:00,523,1046
08:43:30,523.5,1047
08:44:00,524,1048
08:44:30,524.5,1049
08:45:00,525,1050
08:45:30,525.5,1051
08:46:00,526,1052
08:46:30,526.5,1053
08:47:00,527,1054
08:47:30,527.5,1055
08:48:00,528,1056
08:48:30,528.5,1057
08:49:00,529,1058
08:49:30,529.5,1059
08:50:00,530,1060
08:50:30,530.5,1061
08:51:00,531,1062
08:51:30,531.5,1063
08:52:00,532,1064
08:52:30,532.5,1065
08:53:00,533,1066
08:53:30,533.5,1067
08:54:00,534,1068
08:54:30,534.5,1069
08:55:00,535,1070
08:55:30,535.5,1071
08:56:00,536,1072
08:56:30,536.5,1073
08:57:00,537,1074
08:57:30,537.5,1075
08:58:00,538,1076
08:58:30,538.5,1077
08:59:00,539,1078
08:59:30,539.5,1079
09:00:00,540,1080
09:00:30,540.5,1081
09:01:00,541,1082
09:01:30,541.5,1083
09:02:00,542,1084
09:02:30,542.5,1085
09:03:00,543,1086
09:03:30,543.5,1087
09:04:00,544,1088
09:04:30,544.5,1089
09:05:00,545,1090
09:05:30,545.5,1091
09:06:00,546,1092
09:06:30,546.5,1093
09:07:00,547,1094
09:07:30,547.5,1095
09:08:00,548,1096
09:08:30,548.5,1097
